,"subject,melody,note,onset,duration,ioi,pitch,probe,response,time,known,liked,interval,rt,musical,training,playing"
237,"10,hymn_039_b,21,20000000,1000000,1000000,64,1,7,22179905,Yes,3,-5,2179.905,TRUE,4,7"
238,"10,hymn_047_b,10,9000000,1000000,1000000,71,1,6,11800480,No,3,2,2800.48,TRUE,4,7"
239,"10,hymn_054_b,22,21000000,1000000,1000000,76,1,5,22400871,Yes,3,7,1400.871,TRUE,4,7"
240,"10,hymn_073_b,9,8000000,1000000,1000000,75,1,7,11065702,Yes,3,8,3065.702,TRUE,4,7"
241,"10,hymn_081_b,58,57000000,1000000,1000000,74,1,5,59338281,No,3,5,2338.281,TRUE,4,7"
242,"10,hymn_119_b,17,16000000,1000000,1000000,66,1,7,16797748,No,3,-1,797.748,TRUE,4,7"
243,"10,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,10148514,Yes,3,5,2148.514,TRUE,4,7"
244,"10,hymn_127_b,46,45000000,1000000,1000000,61,1,7,46708366,Yes,3,-1,1708.366,TRUE,4,7"
245,"10,hymn_161_b,13,12000000,1000000,1000000,65,1,5,14674603,No,3,-3,2674.603,TRUE,4,7"
246,"10,hymn_163_b,9,8000000,1000000,1000000,74,1,5,9194232,No,3,8,1194.232,TRUE,4,7"
247,"10,hymn_190_b,41,40000000,1000000,1000000,72,1,4,43909040,No,3,5,3909.04,TRUE,4,7"
248,"10,hymn_213_b,21,20000000,1000000,1000000,68,1,7,21988126,Yes,3,-4,1988.126,TRUE,4,7"
249,"10,hymn_233_b,18,17000000,1000000,1000000,75,1,6,20338067,No,3,7,3338.067,TRUE,4,7"
250,"10,hymn_267_b,53,52000000,1000000,1000000,68,1,6,55235978,No,3,-7,3235.978,TRUE,4,7"
251,"10,hymn_273_b,9,8000000,1000000,1000000,64,1,6,10714769,Yes,3,-7,2714.769,TRUE,4,7"
252,"10,hymn_291_b,14,13000000,1000000,1000000,71,1,7,14342195,No,3,-1,1342.195,TRUE,4,7"
253,"10,hymn_295_b,11,10000000,1000000,1000000,71,1,5,11048760,Yes,3,-5,1048.76,TRUE,4,7"
254,"10,hymn_311_b,21,20000000,1000000,1000000,74,1,4,24679044,Yes,3,3,4679.044,TRUE,4,7"
255,"10,hymn_388b_b,9,8000000,1000000,1000000,72,1,7,8791011,Yes,3,5,791.011,TRUE,4,7"
256,"10,hymn_444_b,10,9000000,1000000,1000000,74,1,5,10878659,No,3,5,1878.659,TRUE,4,7"
257,"10,hymn_526_b,35,34000000,1000000,1000000,77,1,6,38080283,Yes,3,5,4080.283,TRUE,4,7"
258,"10,hymn_542_b,12,11000000,1000000,1000000,72,1,7,12755456,Yes,3,-4,1755.456,TRUE,4,7"
259,"10,hymn_565_b,9,8000000,1000000,1000000,74,1,7,9551697,Yes,3,12,1551.697,TRUE,4,7"
260,"11,hymn_007_b,26,25000000,1000000,1000000,71,1,3,27594416,No,2,5,2594.416,FALSE,0,0"
261,"11,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22833819,No,2,6,1833.819,FALSE,0,0"
262,"11,hymn_025_b,9,8000000,1000000,1000000,75,1,3,9223537,No,4,12,1223.537,FALSE,0,0"
263,"11,hymn_039_b,21,20000000,1000000,1000000,64,1,5,22051401,No,2,-5,2051.401,FALSE,0,0"
264,"11,hymn_047_b,10,9000000,1000000,1000000,71,1,1,10639059,No,3,2,1639.059,FALSE,0,0"
265,"11,hymn_054_b,22,21000000,1000000,1000000,76,1,2,23572546,No,3,7,2572.546,FALSE,0,0"
266,"11,hymn_073_b,9,8000000,1000000,1000000,75,1,2,11208760,No,4,8,3208.76,FALSE,0,0"
267,"11,hymn_081_b,58,57000000,1000000,1000000,74,1,3,60516865,No,3,5,3516.865,FALSE,0,0"
268,"11,hymn_119_b,17,16000000,1000000,1000000,66,1,3,17922581,No,3,-1,1922.581,FALSE,0,0"
269,"11,hymn_124a_b,9,8000000,1000000,1000000,72,1,3,10511863,No,4,5,2511.863,FALSE,0,0"
270,"11,hymn_127_b,46,45000000,1000000,1000000,61,1,2,48085386,No,2,-1,3085.386,FALSE,0,0"
271,"11,hymn_161_b,13,12000000,1000000,1000000,65,1,2,15493262,No,2,-3,3493.262,FALSE,0,0"
272,"11,hymn_163_b,9,8000000,1000000,1000000,74,1,2,12950649,No,3,8,4950.649,FALSE,0,0"
273,"11,hymn_190_b,41,40000000,1000000,1000000,72,1,2,42366420,No,4,5,2366.42,FALSE,0,0"
274,"11,hymn_213_b,21,20000000,1000000,1000000,68,1,3,22589189,No,3,-4,2589.189,FALSE,0,0"
275,"11,hymn_233_b,18,17000000,1000000,1000000,75,1,2,18681062,No,2,7,1681.062,FALSE,0,0"
276,"11,hymn_267_b,53,52000000,1000000,1000000,68,1,2,53851922,No,2,-7,1851.922,FALSE,0,0"
277,"11,hymn_273_b,9,8000000,1000000,1000000,64,1,3,13116759,No,3,-7,5116.759,FALSE,0,0"
278,"11,hymn_291_b,14,13000000,1000000,1000000,71,1,1,15490270,No,2,-1,2490.27,FALSE,0,0"
279,"11,hymn_295_b,11,10000000,1000000,1000000,71,1,4,15094109,No,3,-5,5094.109,FALSE,0,0"
280,"11,hymn_311_b,21,20000000,1000000,1000000,74,1,1,22313581,No,3,3,2313.581,FALSE,0,0"
281,"11,hymn_388b_b,9,8000000,1000000,1000000,72,1,2,10078459,No,3,5,2078.459,FALSE,0,0"
282,"11,hymn_444_b,10,9000000,1000000,1000000,74,1,3,12851849,No,4,5,3851.849,FALSE,0,0"
283,"11,hymn_526_b,35,34000000,1000000,1000000,77,1,5,39618616,No,4,5,5618.616,FALSE,0,0"
284,"11,hymn_542_b,12,11000000,1000000,1000000,72,1,2,12826375,No,2,-4,1826.375,FALSE,0,0"
285,"11,hymn_565_b,9,8000000,1000000,1000000,74,1,2,9699720,No,4,12,1699.72,FALSE,0,0"
286,"12,hymn_007_b,26,25000000,1000000,1000000,71,1,4,31767038,No,3,5,6767.038,TRUE,8,15"
287,"12,hymn_022_b,22,21000000,1000000,1000000,75,1,2,24120608,No,2,6,3120.608,TRUE,8,15"
288,"12,hymn_025_b,9,8000000,1000000,1000000,75,1,5,14042908,No,3,12,6042.908,TRUE,8,15"
289,"12,hymn_039_b,21,20000000,1000000,1000000,64,1,5,24272204,No,3,-5,4272.204,TRUE,8,15"
290,"12,hymn_047_b,10,9000000,1000000,1000000,71,1,5,13055145,No,4,2,4055.145,TRUE,8,15"
291,"12,hymn_054_b,22,21000000,1000000,1000000,76,1,7,23528218,Yes,4,7,2528.218,TRUE,8,15"
292,"12,hymn_073_b,9,8000000,1000000,1000000,75,1,6,12445394,No,3,8,4445.394,TRUE,8,15"
293,"12,hymn_081_b,58,57000000,1000000,1000000,74,1,2,60745167,No,2,5,3745.167,TRUE,8,15"
294,"12,hymn_119_b,17,16000000,1000000,1000000,66,1,6,19581720,No,3,-1,3581.72,TRUE,8,15"
295,"12,hymn_124a_b,9,8000000,1000000,1000000,72,1,6,9520033,No,4,5,1520.033,TRUE,8,15"
296,"12,hymn_127_b,46,45000000,1000000,1000000,61,1,7,46952170,No,3,-1,1952.17,TRUE,8,15"
297,"12,hymn_161_b,13,12000000,1000000,1000000,65,1,4,15835715,No,3,-3,3835.715,TRUE,8,15"
298,"12,hymn_163_b,9,8000000,1000000,1000000,74,1,6,11957476,No,3,8,3957.476,TRUE,8,15"
299,"12,hymn_190_b,41,40000000,1000000,1000000,72,1,6,43662425,No,3,5,3662.425,TRUE,8,15"
300,"12,hymn_213_b,21,20000000,1000000,1000000,68,1,6,21706430,No,3,-4,1706.43,TRUE,8,15"
301,"12,hymn_233_b,18,17000000,1000000,1000000,75,1,3,19943655,No,2,7,2943.655,TRUE,8,15"
302,"12,hymn_267_b,53,52000000,1000000,1000000,68,1,5,55345845,No,3,-7,3345.845,TRUE,8,15"
303,"12,hymn_273_b,9,8000000,1000000,1000000,64,1,6,11789272,No,3,-7,3789.272,TRUE,8,15"
304,"12,hymn_291_b,14,13000000,1000000,1000000,71,1,6,15064765,No,3,-1,2064.765,TRUE,8,15"
305,"12,hymn_295_b,11,10000000,1000000,1000000,71,1,6,14691234,No,3,-5,4691.234,TRUE,8,15"
306,"12,hymn_311_b,21,20000000,1000000,1000000,74,1,3,25783943,Yes,4,3,5783.943,TRUE,8,15"
307,"12,hymn_388b_b,9,8000000,1000000,1000000,72,1,4,14749220,No,3,5,6749.22,TRUE,8,15"
308,"12,hymn_444_b,10,9000000,1000000,1000000,74,1,6,11275352,No,4,5,2275.352,TRUE,8,15"
309,"12,hymn_526_b,35,34000000,1000000,1000000,77,1,3,36979179,No,3,5,2979.179,TRUE,8,15"
310,"12,hymn_542_b,12,11000000,1000000,1000000,72,1,6,14208229,No,3,-4,3208.229,TRUE,8,15"
311,"12,hymn_565_b,9,8000000,1000000,1000000,74,1,3,13071063,No,2,12,5071.063,TRUE,8,15"
312,"13,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26359573,No,3,5,1359.573,TRUE,12,17"
313,"13,hymn_022_b,22,21000000,1000000,1000000,75,1,3,22701627,No,3,6,1701.627,TRUE,12,17"
314,"13,hymn_025_b,9,8000000,1000000,1000000,75,1,6,9275149,No,5,12,1275.149,TRUE,12,17"
315,"13,hymn_039_b,21,20000000,1000000,1000000,64,1,6,21388627,No,4,-5,1388.627,TRUE,12,17"
316,"13,hymn_047_b,10,9000000,1000000,1000000,71,1,1,10397033,No,3,2,1397.033,TRUE,12,17"
317,"13,hymn_054_b,22,21000000,1000000,1000000,76,1,2,25111128,No,2,7,4111.128,TRUE,12,17"
318,"13,hymn_073_b,9,8000000,1000000,1000000,75,1,3,10016313,Yes,3,8,2016.313,TRUE,12,17"
319,"13,hymn_081_b,58,57000000,1000000,1000000,74,1,3,58270007,No,1,5,1270.007,TRUE,12,17"
320,"13,hymn_119_b,17,16000000,1000000,1000000,66,1,2,17841045,No,4,-1,1841.045,TRUE,12,17"
321,"13,hymn_124a_b,9,8000000,1000000,1000000,72,1,4,9384355,No,3,5,1384.355,TRUE,12,17"
322,"13,hymn_127_b,46,45000000,1000000,1000000,61,1,2,46321900,No,2,-1,1321.9,TRUE,12,17"
323,"13,hymn_161_b,13,12000000,1000000,1000000,65,1,7,13224864,No,2,-3,1224.864,TRUE,12,17"
324,"13,hymn_163_b,9,8000000,1000000,1000000,74,1,5,9475638,No,4,8,1475.638,TRUE,12,17"
325,"13,hymn_190_b,41,40000000,1000000,1000000,72,1,4,41695844,No,2,5,1695.844,TRUE,12,17"
326,"13,hymn_213_b,21,20000000,1000000,1000000,68,1,5,21713479,No,4,-4,1713.479,TRUE,12,17"
327,"13,hymn_233_b,18,17000000,1000000,1000000,75,1,4,18656134,No,2,7,1656.134,TRUE,12,17"
328,"13,hymn_267_b,53,52000000,1000000,1000000,68,1,4,53172094,No,4,-7,1172.094,TRUE,12,17"
329,"13,hymn_273_b,9,8000000,1000000,1000000,64,1,4,9324357,No,3,-7,1324.357,TRUE,12,17"
330,"13,hymn_291_b,14,13000000,1000000,1000000,71,1,7,13943816,Yes,4,-1,943.816,TRUE,12,17"
331,"13,hymn_295_b,11,10000000,1000000,1000000,71,1,5,11470713,No,3,-5,1470.713,TRUE,12,17"
332,"13,hymn_311_b,21,20000000,1000000,1000000,74,1,2,21236315,Yes,4,3,1236.315,TRUE,12,17"
333,"13,hymn_388b_b,9,8000000,1000000,1000000,72,1,5,9529121,No,3,5,1529.121,TRUE,12,17"
334,"13,hymn_444_b,10,9000000,1000000,1000000,74,1,5,10796589,No,3,5,1796.589,TRUE,12,17"
335,"13,hymn_526_b,35,34000000,1000000,1000000,77,1,3,35339783,No,4,5,1339.783,TRUE,12,17"
336,"13,hymn_542_b,12,11000000,1000000,1000000,72,1,5,12301248,No,3,-4,1301.248,TRUE,12,17"
337,"13,hymn_565_b,9,8000000,1000000,1000000,74,1,3,9597531,No,1,12,1597.531,TRUE,12,17"
338,"14,hymn_007_b,26,25000000,1000000,1000000,71,1,4,29721706,No,2,5,4721.706,FALSE,0,0"
339,"14,hymn_022_b,22,21000000,1000000,1000000,75,1,5,25433362,Yes,5,6,4433.362,FALSE,0,0"
340,"14,hymn_025_b,9,8000000,1000000,1000000,75,1,1,10339351,No,3,12,2339.351,FALSE,0,0"
341,"14,hymn_039_b,21,20000000,1000000,1000000,64,1,3,22623539,No,3,-5,2623.539,FALSE,0,0"
342,"14,hymn_047_b,10,9000000,1000000,1000000,71,1,3,11499597,No,3,2,2499.597,FALSE,0,0"
343,"14,hymn_054_b,22,21000000,1000000,1000000,76,1,2,23809754,No,4,7,2809.754,FALSE,0,0"
344,"14,hymn_073_b,9,8000000,1000000,1000000,75,1,2,11619101,No,2,8,3619.101,FALSE,0,0"
345,"14,hymn_081_b,58,57000000,1000000,1000000,74,1,2,58553468,Yes,5,5,1553.468,FALSE,0,0"
346,"14,hymn_119_b,17,16000000,1000000,1000000,66,1,7,17761515,Yes,5,-1,1761.515,FALSE,0,0"
347,"14,hymn_124a_b,9,8000000,1000000,1000000,72,1,3,10721004,Yes,5,5,2721.004,FALSE,0,0"
348,"14,hymn_127_b,46,45000000,1000000,1000000,61,1,1,46871587,Yes,4,-1,1871.587,FALSE,0,0"
349,"14,hymn_161_b,13,12000000,1000000,1000000,65,1,3,15052953,No,3,-3,3052.953,FALSE,0,0"
350,"14,hymn_163_b,9,8000000,1000000,1000000,74,1,2,10807797,Yes,5,8,2807.797,FALSE,0,0"
351,"14,hymn_190_b,41,40000000,1000000,1000000,72,1,2,42107004,No,4,5,2107.004,FALSE,0,0"
352,"14,hymn_213_b,21,20000000,1000000,1000000,68,1,3,21476650,No,2,-4,1476.65,FALSE,0,0"
353,"14,hymn_233_b,18,17000000,1000000,1000000,75,1,6,20098880,Yes,4,7,3098.88,FALSE,0,0"
354,"14,hymn_267_b,53,52000000,1000000,1000000,68,1,1,54339178,Yes,4,-7,2339.178,FALSE,0,0"
355,"14,hymn_273_b,9,8000000,1000000,1000000,64,1,2,10583963,No,3,-7,2583.963,FALSE,0,0"
356,"14,hymn_291_b,14,13000000,1000000,1000000,71,1,2,16512944,Yes,2,-1,3512.944,FALSE,0,0"
357,"14,hymn_295_b,11,10000000,1000000,1000000,71,1,1,11949109,No,2,-5,1949.109,FALSE,0,0"
358,"14,hymn_311_b,21,20000000,1000000,1000000,74,1,1,22491705,No,1,3,2491.705,FALSE,0,0"
359,"14,hymn_388b_b,9,8000000,1000000,1000000,72,1,2,9905230,No,3,5,1905.23,FALSE,0,0"
360,"14,hymn_444_b,10,9000000,1000000,1000000,74,1,5,13450508,No,3,5,4450.508,FALSE,0,0"
361,"14,hymn_526_b,35,34000000,1000000,1000000,77,1,7,36680982,Yes,5,5,2680.982,FALSE,0,0"
362,"14,hymn_542_b,12,11000000,1000000,1000000,72,1,3,13074806,No,4,-4,2074.806,FALSE,0,0"
363,"14,hymn_565_b,9,8000000,1000000,1000000,74,1,1,9689683,Yes,3,12,1689.683,FALSE,0,0"
364,"15,hymn_007_b,26,25000000,1000000,1000000,71,1,3,28844044,No,3,5,3844.044,TRUE,10,25"
365,"15,hymn_022_b,22,21000000,1000000,1000000,75,1,2,23602817,No,3,6,2602.817,TRUE,10,25"
366,"15,hymn_025_b,9,8000000,1000000,1000000,75,1,1,9341945,No,4,12,1341.945,TRUE,10,25"
367,"15,hymn_039_b,21,20000000,1000000,1000000,64,1,2,22600797,No,3,-5,2600.797,TRUE,10,25"
368,"15,hymn_047_b,10,9000000,1000000,1000000,71,1,2,11050889,No,4,2,2050.889,TRUE,10,25"
369,"15,hymn_054_b,22,21000000,1000000,1000000,76,1,4,27091263,No,3,7,6091.263,TRUE,10,25"
370,"15,hymn_073_b,9,8000000,1000000,1000000,75,1,5,10314884,No,3,8,2314.884,TRUE,10,25"
371,"15,hymn_081_b,58,57000000,1000000,1000000,74,1,2,59635767,No,2,5,2635.767,TRUE,10,25"
372,"15,hymn_119_b,17,16000000,1000000,1000000,66,1,6,18326283,No,4,-1,2326.283,TRUE,10,25"
373,"15,hymn_124a_b,9,8000000,1000000,1000000,72,1,4,11050653,No,4,5,3050.653,TRUE,10,25"
374,"15,hymn_127_b,46,45000000,1000000,1000000,61,1,5,47484823,No,3,-1,2484.823,TRUE,10,25"
375,"15,hymn_161_b,13,12000000,1000000,1000000,65,1,5,16481376,No,2,-3,4481.376,TRUE,10,25"
376,"15,hymn_163_b,9,8000000,1000000,1000000,74,1,5,10562996,No,3,8,2562.996,TRUE,10,25"
377,"15,hymn_190_b,41,40000000,1000000,1000000,72,1,3,42081704,No,2,5,2081.704,TRUE,10,25"
378,"15,hymn_213_b,21,20000000,1000000,1000000,68,1,4,22049921,No,4,-4,2049.921,TRUE,10,25"
379,"15,hymn_233_b,18,17000000,1000000,1000000,75,1,3,20638945,No,3,7,3638.945,TRUE,10,25"
380,"15,hymn_267_b,53,52000000,1000000,1000000,68,1,1,54268448,No,2,-7,2268.448,TRUE,10,25"
381,"15,hymn_273_b,9,8000000,1000000,1000000,64,1,1,11386356,No,2,-7,3386.356,TRUE,10,25"
382,"15,hymn_291_b,14,13000000,1000000,1000000,71,1,6,16327626,No,5,-1,3327.626,TRUE,10,25"
383,"15,hymn_295_b,11,10000000,1000000,1000000,71,1,4,12620741,No,1,-5,2620.741,TRUE,10,25"
384,"15,hymn_311_b,21,20000000,1000000,1000000,74,1,2,22045683,No,3,3,2045.683,TRUE,10,25"
385,"15,hymn_388b_b,9,8000000,1000000,1000000,72,1,2,13883609,No,3,5,5883.609,TRUE,10,25"
386,"15,hymn_444_b,10,9000000,1000000,1000000,74,1,3,11097060,No,2,5,2097.06,TRUE,10,25"
387,"15,hymn_526_b,35,34000000,1000000,1000000,77,1,3,37439749,No,3,5,3439.749,TRUE,10,25"
388,"15,hymn_542_b,12,11000000,1000000,1000000,72,1,3,13745395,No,1,-4,2745.395,TRUE,10,25"
389,"15,hymn_565_b,9,8000000,1000000,1000000,74,1,1,9511123,No,2,12,1511.123,TRUE,10,25"
390,"16,hymn_007_b,26,25000000,1000000,1000000,71,1,5,25911722,No,3,5,911.722,TRUE,21,23"
391,"16,hymn_022_b,22,21000000,1000000,1000000,75,1,2,22431266,No,2,6,1431.266,TRUE,21,23"
392,"16,hymn_025_b,9,8000000,1000000,1000000,75,1,2,9861998,No,3,12,1861.998,TRUE,21,23"
393,"16,hymn_039_b,21,20000000,1000000,1000000,64,1,3,21486598,No,3,-5,1486.598,TRUE,21,23"
394,"16,hymn_047_b,10,9000000,1000000,1000000,71,1,3,10444884,No,3,2,1444.884,TRUE,21,23"
395,"16,hymn_054_b,22,21000000,1000000,1000000,76,1,3,23855785,No,3,7,2855.785,TRUE,21,23"
396,"16,hymn_073_b,9,8000000,1000000,1000000,75,1,3,9572710,No,3,8,1572.71,TRUE,21,23"
397,"16,hymn_081_b,58,57000000,1000000,1000000,74,1,4,58266628,No,4,5,1266.628,TRUE,21,23"
398,"16,hymn_119_b,17,16000000,1000000,1000000,66,1,4,18251715,No,2,-1,2251.715,TRUE,21,23"
399,"16,hymn_124a_b,9,8000000,1000000,1000000,72,1,6,9270944,No,4,5,1270.944,TRUE,21,23"
400,"16,hymn_127_b,46,45000000,1000000,1000000,61,1,5,52727468,No,3,-1,7727.468,TRUE,21,23"
401,"16,hymn_161_b,13,12000000,1000000,1000000,65,1,5,13568704,No,3,-3,1568.704,TRUE,21,23"
402,"16,hymn_163_b,9,8000000,1000000,1000000,74,1,2,9459127,No,3,8,1459.127,TRUE,21,23"
403,"16,hymn_190_b,41,40000000,1000000,1000000,72,1,2,41607315,No,4,5,1607.315,TRUE,21,23"
404,"16,hymn_213_b,21,20000000,1000000,1000000,68,1,4,23252185,No,2,-4,3252.185,TRUE,21,23"
405,"16,hymn_233_b,18,17000000,1000000,1000000,75,1,2,19107582,No,3,7,2107.582,TRUE,21,23"
406,"16,hymn_267_b,53,52000000,1000000,1000000,68,1,2,53491643,No,4,-7,1491.643,TRUE,21,23"
407,"16,hymn_273_b,9,8000000,1000000,1000000,64,1,6,12392313,No,4,-7,4392.313,TRUE,21,23"
408,"16,hymn_291_b,14,13000000,1000000,1000000,71,1,6,14642151,No,5,-1,1642.151,TRUE,21,23"
409,"16,hymn_295_b,11,10000000,1000000,1000000,71,1,2,11265641,No,4,-5,1265.641,TRUE,21,23"
410,"16,hymn_311_b,21,20000000,1000000,1000000,74,1,3,23403343,No,4,3,3403.343,TRUE,21,23"
411,"16,hymn_388b_b,9,8000000,1000000,1000000,72,1,6,9539247,No,3,5,1539.247,TRUE,21,23"
412,"16,hymn_444_b,10,9000000,1000000,1000000,74,1,3,10317772,No,3,5,1317.772,TRUE,21,23"
413,"16,hymn_526_b,35,34000000,1000000,1000000,77,1,4,36245037,No,2,5,2245.037,TRUE,21,23"
414,"16,hymn_542_b,12,11000000,1000000,1000000,72,1,3,12316166,No,3,-4,1316.166,TRUE,21,23"
415,"16,hymn_565_b,9,8000000,1000000,1000000,74,1,3,9336564,No,4,12,1336.564,TRUE,21,23"
416,"17,hymn_007_b,26,25000000,1000000,1000000,71,1,NA,NA,No,3,5,NA,FALSE,0,10"
417,"17,hymn_022_b,22,21000000,1000000,1000000,75,1,4,23604651,No,3,6,2604.651,FALSE,0,10"
418,"17,hymn_025_b,9,8000000,1000000,1000000,75,1,2,10496160,No,3,12,2496.16,FALSE,0,10"
419,"17,hymn_039_b,21,20000000,1000000,1000000,64,1,2,22483120,No,3,-5,2483.12,FALSE,0,10"
420,"17,hymn_047_b,10,9000000,1000000,1000000,71,1,5,11781631,No,3,2,2781.631,FALSE,0,10"
421,"17,hymn_054_b,22,21000000,1000000,1000000,76,1,2,24915716,No,3,7,3915.716,FALSE,0,10"
422,"17,hymn_073_b,9,8000000,1000000,1000000,75,1,3,10657095,No,3,8,2657.095,FALSE,0,10"
423,"17,hymn_081_b,58,57000000,1000000,1000000,74,1,2,58760410,No,3,5,1760.41,FALSE,0,10"
424,"17,hymn_119_b,17,16000000,1000000,1000000,66,1,3,18783582,No,3,-1,2783.582,FALSE,0,10"
425,"17,hymn_124a_b,9,8000000,1000000,1000000,72,1,4,9985327,No,3,5,1985.327,FALSE,0,10"
426,"17,hymn_127_b,46,45000000,1000000,1000000,61,1,3,49610225,No,2,-1,4610.225,FALSE,0,10"
427,"17,hymn_161_b,13,12000000,1000000,1000000,65,1,3,14255336,No,3,-3,2255.336,FALSE,0,10"
428,"17,hymn_163_b,9,8000000,1000000,1000000,74,1,3,10217863,No,2,8,2217.863,FALSE,0,10"
429,"17,hymn_190_b,41,40000000,1000000,1000000,72,1,3,41730231,No,3,5,1730.231,FALSE,0,10"
430,"17,hymn_213_b,21,20000000,1000000,1000000,68,1,3,21803440,No,3,-4,1803.44,FALSE,0,10"
431,"17,hymn_233_b,18,17000000,1000000,1000000,75,1,3,19517132,No,3,7,2517.132,FALSE,0,10"
432,"17,hymn_267_b,53,52000000,1000000,1000000,68,1,3,53688230,No,3,-7,1688.23,FALSE,0,10"
433,"17,hymn_273_b,9,8000000,1000000,1000000,64,1,2,11329026,No,2,-7,3329.026,FALSE,0,10"
434,"17,hymn_291_b,14,13000000,1000000,1000000,71,1,5,15881141,No,3,-1,2881.141,FALSE,0,10"
435,"17,hymn_295_b,11,10000000,1000000,1000000,71,1,2,12275322,No,3,-5,2275.322,FALSE,0,10"
436,"17,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21660609,No,2,3,1660.609,FALSE,0,10"
437,"17,hymn_388b_b,9,8000000,1000000,1000000,72,1,4,9622748,No,3,5,1622.748,FALSE,0,10"
438,"17,hymn_444_b,10,9000000,1000000,1000000,74,1,3,10791140,No,3,5,1791.14,FALSE,0,10"
439,"17,hymn_526_b,35,34000000,1000000,1000000,77,1,2,36056464,No,3,5,2056.464,FALSE,0,10"
440,"17,hymn_542_b,12,11000000,1000000,1000000,72,1,3,13482612,No,3,-4,2482.612,FALSE,0,10"
441,"17,hymn_565_b,9,8000000,1000000,1000000,74,1,2,9939189,No,3,12,1939.189,FALSE,0,10"
442,"18,hymn_007_b,26,25000000,1000000,1000000,71,1,5,28046952,No,4,5,3046.952,FALSE,0,0"
443,"18,hymn_022_b,22,21000000,1000000,1000000,75,1,6,23129501,Yes,4,6,2129.501,FALSE,0,0"
444,"18,hymn_025_b,9,8000000,1000000,1000000,75,1,6,11864363,No,4,12,3864.363,FALSE,0,0"
445,"18,hymn_039_b,21,20000000,1000000,1000000,64,1,6,24965693,No,2,-5,4965.693,FALSE,0,0"
446,"18,hymn_047_b,10,9000000,1000000,1000000,71,1,5,12049139,No,3,2,3049.139,FALSE,0,0"
447,"18,hymn_054_b,22,21000000,1000000,1000000,76,1,2,24934510,No,4,7,3934.51,FALSE,0,0"
448,"18,hymn_073_b,9,8000000,1000000,1000000,75,1,4,12447270,No,3,8,4447.27,FALSE,0,0"
449,"18,hymn_081_b,58,57000000,1000000,1000000,74,1,6,62248084,No,4,5,5248.084,FALSE,0,0"
450,"18,hymn_119_b,17,16000000,1000000,1000000,66,1,7,19912533,No,3,-1,3912.533,FALSE,0,0"
451,"18,hymn_124a_b,9,8000000,1000000,1000000,72,1,6,11015522,No,3,5,3015.522,FALSE,0,0"
452,"18,hymn_127_b,46,45000000,1000000,1000000,61,1,7,47356803,Yes,4,-1,2356.803,FALSE,0,0"
453,"18,hymn_161_b,13,12000000,1000000,1000000,65,1,5,15585348,No,3,-3,3585.348,FALSE,0,0"
454,"18,hymn_163_b,9,8000000,1000000,1000000,74,1,7,12601219,No,4,8,4601.219,FALSE,0,0"
455,"18,hymn_190_b,41,40000000,1000000,1000000,72,1,4,42911242,No,3,5,2911.242,FALSE,0,0"
456,"18,hymn_213_b,21,20000000,1000000,1000000,68,1,6,24171520,No,2,-4,4171.52,FALSE,0,0"
457,"18,hymn_233_b,18,17000000,1000000,1000000,75,1,6,21107323,No,3,7,4107.323,FALSE,0,0"
458,"18,hymn_267_b,53,52000000,1000000,1000000,68,1,6,57672734,No,3,-7,5672.734,FALSE,0,0"
459,"18,hymn_273_b,9,8000000,1000000,1000000,64,1,6,14752991,No,3,-7,6752.991,FALSE,0,0"
460,"18,hymn_291_b,14,13000000,1000000,1000000,71,1,5,17755325,No,3,-1,4755.325,FALSE,0,0"
461,"18,hymn_295_b,11,10000000,1000000,1000000,71,1,7,14125540,No,3,-5,4125.54,FALSE,0,0"
462,"18,hymn_311_b,21,20000000,1000000,1000000,74,1,7,22897657,No,4,3,2897.657,FALSE,0,0"
463,"18,hymn_388b_b,9,8000000,1000000,1000000,72,1,7,11437679,No,4,5,3437.679,FALSE,0,0"
464,"18,hymn_444_b,10,9000000,1000000,1000000,74,1,7,11977823,No,3,5,2977.823,FALSE,0,0"
465,"18,hymn_526_b,35,34000000,1000000,1000000,77,1,7,39154472,No,4,5,5154.472,FALSE,0,0"
466,"18,hymn_542_b,12,11000000,1000000,1000000,72,1,6,15068018,No,3,-4,4068.018,FALSE,0,0"
467,"18,hymn_565_b,9,8000000,1000000,1000000,74,1,6,11704153,No,3,12,3704.153,FALSE,0,0"
468,"19,hymn_007_b,26,25000000,1000000,1000000,71,1,2,26234572,No,5,5,1234.572,FALSE,0,0"
469,"19,hymn_022_b,22,21000000,1000000,1000000,75,1,1,22587408,No,1,6,1587.408,FALSE,0,0"
470,"19,hymn_025_b,9,8000000,1000000,1000000,75,1,1,9298390,No,2,12,1298.39,FALSE,0,0"
471,"19,hymn_039_b,21,20000000,1000000,1000000,64,1,2,22117818,No,3,-5,2117.818,FALSE,0,0"
472,"19,hymn_047_b,10,9000000,1000000,1000000,71,1,3,11600953,No,4,2,2600.953,FALSE,0,0"
473,"19,hymn_054_b,22,21000000,1000000,1000000,76,1,1,22350786,No,1,7,1350.786,FALSE,0,0"
